"plate","state","license_type","summons_number","issue_date","violation_time","violation","precinct","county","issuing_agency"
"KDC9241","NC","PAS","9049909607","05/17/2023","04:31P","DOUBLE PARKING","019","NY","TRAFFIC"
"10IFA","FL","PAS","9050001877","05/04/2023","01:11P","CROSSWALK","066","K","TRAFFIC"
"K42KMG","NY","PAS","9050387494","05/15/2024",,,,,
"T720098C","NY","OMT","9050415787","04/21/2023","06:00A","SIDEWALK","044","BX","TRAFFIC"
"TSA438","SC","PAS","9050416792","04/22/2023","06:15A","FIRE HYDRANT","042","BX","TRAFFIC"
"KMU5944","NY","PAS","9050488936","05/10/2023","09:41A","FIRE HYDRANT","106","Q","TRAFFIC"
"LZJ9583","PA","PAS","9050583982","05/22/2023","06:25A","FIRE HYDRANT","034","NY","TRAFFIC"
"KTC6734","NY","PAS","9050755033","04/21/2023","06:41A","FIRE HYDRANT","103","Q","TRAFFIC"
"KRM7243","NY","PAS","9050908986","05/06/2023","10:11A","FIRE HYDRANT","046","BX","TRAFFIC"
"GZN9391","NY","PAS","9051012226","05/18/2023","04:38A","FIRE HYDRANT","063","K","TRAFFIC"
"967833T","NJ","PAS","9051348873","07/31/2024","04:05P","NO STANDING-COMM METER ZONE","013","NY","TRAFFIC"
"TXU7672","VA","PAS","9051666810","04/26/2023","07:30A","DOUBLE PARKING","046","BX","TRAFFIC"
"4693AD","MN","PAS","9051702528","05/02/2023","07:01A","FIRE HYDRANT","075","K","TRAFFIC"
"424828T","NJ","PAS","9052014930","02/25/2024",,,,,
"LYE4568","PA","PAS","9052303848","05/21/2023","10:39A","FIRE HYDRANT","046","BX","TRAFFIC"
"N99RLE","NJ","PAS","9052413540","05/04/2023","04:58A","BIKE LANE","071","K","TRAFFIC"
"KVR7491","NY","PAS","9052473572","05/15/2023","02:36P","SIDEWALK","103","Q","TRAFFIC"
"T805750C","NY","OMT","9052711690","05/10/2023","07:49A","DOUBLE PARKING","041","BX","TRAFFIC"
"KXT7017","NY","PAS","9053116722","05/09/2023","06:50A","SIDEWALK","110","Q","TRAFFIC"
"JML2786","NC","PAS","9053413728","05/18/2023","07:42A","FIRE HYDRANT","108","Q","TRAFFIC"
"BLANKPLATE","99","999","9053573951","09/12/2023","02:27P","FIRE HYDRANT","048","BX","TRAFFIC"
"KHX9475","NY","PAS","9053624570","05/30/2023","08:13P","FIRE HYDRANT","066","K","TRAFFIC"
"BLANKPLATE","99","999","9053805254","02/06/2024","11:56P","FRONT OR BACK PLATE MISSING","034","NY","TRAFFIC"
"KZY7633","NY","PAS","9054005828","06/12/2023","05:37A","FIRE HYDRANT","115","Q","TRAFFIC"
"MRJ0461","TX","PAS","9054607737","11/12/2024","07:15A","FIRE HYDRANT","104","Q","TRAFFIC"
"KWS7279","NY","PAS","9054608249","11/13/2024","11:45A","REG. STICKER-EXPIRED/MISSING","112","Q","TRAFFIC"
"728149T","NJ","PAS","9054785550","09/23/2023","09:28A","FIRE HYDRANT","050","BX","TRAFFIC"
"KGA162","MN","PAS","9054896826","05/19/2023","07:24A","CROSSWALK","103","Q","TRAFFIC"
"634353T","NJ","PAS","9054975726","05/12/2023","07:59A","FIRE HYDRANT","109","Q","TRAFFIC"
"KBW9131","NY","PAS","9055057113","05/24/2023","04:13P","DOUBLE PARKING","034","NY","TRAFFIC"
"14399NC","NY","COM","9055094638","05/24/2023","10:27A","BIKE LANE","044","BX","TRAFFIC"
"4654R45","AZ","PAS","9055329691","06/09/2023","09:45P","DOUBLE PARKING","040","BX","TRAFFIC"
"SSB0311","TX","PAS","9055593023","05/22/2023","10:10A","FIRE HYDRANT","062","K","TRAFFIC"
"MBN1521","PA","PAS","9055858596","05/23/2023","01:37P","CROSSWALK","048","BX","TRAFFIC"
"AL37206","AZ","PAS","9055872167","05/13/2023","07:20A","FIRE HYDRANT","067","K","TRAFFIC"
"KZV3759","NY","PAS","9056073928","06/02/2023","01:08P","DOUBLE PARKING","046","BX","TRAFFIC"
"GUH4864","NY","PAS","9056183503","06/26/2023","07:00A","CROSSWALK","109","Q","TRAFFIC"
"JLP6659","NC","PAS","9056486500","05/25/2023","06:43A","FIRE HYDRANT","114","Q","TRAFFIC"
"6DS0186","MD","PAS","9056554323","02/06/2025","01:11A","FIRE HYDRANT","112","Q","TRAFFIC"
"87160NC","NY","COM","9056606359","05/24/2023","02:05P","DOUBLE PARKING","026","NY","TRAFFIC"
"KVT6375","NY","PAS","9056620356","05/25/2023","11:42A","DOUBLE PARKING","049","BX","TRAFFIC"
"684557T","NJ","PAS","9056760671","08/07/2023","10:20A","FIRE HYDRANT","050","BX","TRAFFIC"
"LBD1303","NY","PAS","9056798110","06/01/2023","03:03P","DOUBLE PARKING","018","NY","TRAFFIC"
"219BE8","NY","MOT","9056849074","06/16/2023","11:46A","SIDEWALK","043","BX","TRAFFIC"
"82254PC","NY","APP","9056894122","06/13/2023","10:13A","DOUBLE PARKING","115","Q","TRAFFIC"
"AJ41635","AZ","PAS","9057355980","05/24/2023","08:49P","FIRE HYDRANT","024","NY","TRAFFIC"
"1910","OH","PAS","9057524181","06/15/2023","10:40P","SAFETY ZONE","108","Q","TRAFFIC"
"632010T","NJ","PAS","9057696370","05/25/2023","04:46A","SIDEWALK","072","K","TRAFFIC"
"KYT9505","NY","PAS","9058356644","06/09/2023","07:08A","SIDEWALK","110","Q","TRAFFIC"
"674335T","NJ","PAS","9058406842","06/27/2023","09:47A","FIRE HYDRANT","045","BX","TRAFFIC"
"KES3100","NY","PAS","9058433687","06/06/2023","07:09A","FIRE HYDRANT","050","BX","TRAFFIC"
"C57NLR","NJ","PAS","9058461269","05/30/2023","09:25A","NO PARKING-STREET CLEANING","075","K","TRAFFIC"
"VQR552","SC","PAS","9058462250","06/02/2023","07:20A","FIRE HYDRANT","081","K","TRAFFIC"
"BLANKPLATE","99","999","9058507609","07/26/2023","01:21P","NO STANDING-COMM METER ZONE","014","NY","TRAFFIC"
"KLJ4307","NY","PAS","9058521618","05/31/2023","02:33P","SAFETY ZONE","040","BX","TRAFFIC"
"KHA4213","NY","PAS","9058529710","06/27/2023","05:13A","FIRE HYDRANT","067","K","TRAFFIC"
"K75RAC","NJ","PAS","9058647596","06/03/2023","08:14A","DOUBLE PARKING","047","BX","TRAFFIC"
"AB18777","CT","COM","9059179869","10/02/2025","01:08P","DOUBLE PARKING","001","NY","TRAFFIC"
"N24NWX","NJ","PAS","9059288403","06/13/2023","06:25A","FIRE HYDRANT","070","K","TRAFFIC"
"TTE8579","VA","PAS","9059803504","07/09/2023","10:56A","FIRE HYDRANT","048","BX","TRAFFIC"
"2BW183","SD","PAS","9059999939","07/06/2023","10:28A","DOUBLE PARKING","023","NY","TRAFFIC"
"JPK5973","PA","PAS","9060153182","05/03/2024",,,,,
"S1915879","GA","PAS","9060334681","06/14/2024",,,,,
"CF30378","NY","TRL","9060388719","06/29/2023","12:56P","DETACHED TRAILER","061","K","TRAFFIC"
"A66RMS","NJ","PAS","9060608586","06/26/2023","02:30P","FIRE HYDRANT","034","NY","TRAFFIC"
"9FH3915","MD","PAS","9060935550","06/15/2023","11:12A","DOUBLE PARKING","040","BX","TRAFFIC"
"VE3868","MD","PAS","9060952509","07/05/2023","10:24P","FIRE HYDRANT","052","BX","TRAFFIC"
"D66RBZ","NJ","PAS","9061260784","06/06/2023","07:05A","FIRE HYDRANT","069","K","TRAFFIC"
"LAA8990","NY","PAS","9061348316","06/21/2023","06:37A","FIRE HYDRANT","102","Q","TRAFFIC"
"KYM5133","NY","PAS","9061457014","06/13/2023","06:12A","FIRE HYDRANT","076","K","TRAFFIC"
"Z10RSD","NJ","PAS","9061703001","06/22/2023","08:15A","DOUBLE PARKING","052","BX","TRAFFIC"
"265225","DE","PAS","9062309549","06/22/2023","10:11A","CROSSWALK","069","K","TRAFFIC"
"KYY5013","NY","PAS","9062319348","06/21/2023","05:45A","FIRE HYDRANT","071","K","TRAFFIC"
"T679996C","NY","OMT","9062371449","06/23/2023","08:08A","FIRE HYDRANT","103","Q","TRAFFIC"
"CVB6604","AZ","PAS","9062379813","08/05/2023","04:55P","SIDEWALK","100","Q","TRAFFIC"
"59188NB","NY","COM","9062482405","06/23/2023","12:56P","DOUBLE PARKING","009","NY","TRAFFIC"
"SCE03","NY","COM","9062780910","06/24/2023","03:40P","FIRE HYDRANT","019","NY","TRAFFIC"
"IFGA21","FL","PAS","9063310160","06/22/2023","07:05A","FIRE HYDRANT","033","NY","TRAFFIC"
"LBX5182","NY","PAS","9063367480","10/17/2023","07:39A","CROSSWALK","050","BX","TRAFFIC"
"LAL9839","NY","PAS","9063425612","06/16/2023","09:01A","CROSSWALK","079","K","TRAFFIC"
"MFE4969","PA","PAS","9063721018","07/10/2023","06:41A","SIDEWALK","115","Q","TRAFFIC"
"49777NC","NY","COM","9063829759","07/31/2023","12:36P","FIRE HYDRANT","024","NY","TRAFFIC"
"S144700","OH","PAS","9064031540","07/30/2024","04:15P","FIRE HYDRANT","014","NY","TRAFFIC"
"N14UDS","NJ","PAS","9064467973","10/30/2025","05:40P","NO PARKING-DAY/TIME LIMITS","007","NY","TRAFFIC"
"L81NYS","NJ","PAS","9064574649","10/11/2024","06:58A","VIN OBSCURED","048","BX","TRAFFIC"
"C99SBC","NJ","PAS","9064688825","07/08/2023","06:59A","FIRE HYDRANT","102","Q","TRAFFIC"
"KCE4930","NY","PAS","9064878638","06/28/2023","07:40A","FIRE HYDRANT","070","K","TRAFFIC"
"JRJ1438","NY","PAS","9065099098","07/20/2023","01:00P","FIRE HYDRANT","050","BX","TRAFFIC"
"BLANKPLATE","99","999","9065145564","06/28/2023","01:24P","DETACHED TRAILER","069","K","TRAFFIC"
"2577410","IN","PAS","9065321950","07/17/2023","05:36P","BIKE LANE","028","NY","TRAFFIC"
"T111462C","NY","OMT","9065325876","07/07/2023","02:09P","DOUBLE PARKING","033","NY","TRAFFIC"
"F10SCS","NJ","PAS","9065328750","07/20/2023","04:32P","FIRE HYDRANT","033","NY","TRAFFIC"
"AE56274","AZ","PAS","9065563210","07/31/2023","03:13P","FIRE HYDRANT","049","BX","TRAFFIC"
"A96GWT","NJ","PAS","9065688225","10/22/2024","01:57P","DOUBLE PARKING","043","BX","TRAFFIC"
"50IFJ","FL","PAS","9065713130","07/24/2023","01:42P","CROSSWALK","062","K","TRAFFIC"
"ID58872","VA","PAS","9065879316","08/03/2024","12:43P","DOUBLE PARKING","013","NY","TRAFFIC"
"1020046","WY","PAS","9066367611","11/07/2024","08:50A","NO PARKING-STREET CLEANING","048","BX","TRAFFIC"
"KSU4268","NY","PAS","9066382399","08/02/2023","02:22P","FIRE HYDRANT","052","BX","TRAFFIC"
"TDR6796","VA","PAS","9066624188","04/11/2024",,,,,
"KZG4285","NY","PAS","9066808627","08/18/2023","01:39P","FIRE HYDRANT","062","K","TRAFFIC"
"JLF2035","NY","PAS","9066855009","07/14/2023","08:46A","SIDEWALK","107","Q","TRAFFIC"
"BRJX661","ON","PAS","9067433810","08/10/2024","04:35P","FAIL TO DSPLY MUNI METER RECPT","006","NY","TRAFFIC"
"KJZ5849","NY","PAS","9067460140","07/13/2023","06:03A","DOUBLE PARKING","032","NY","TRAFFIC"
"MGF2748","PA","PAS","9067484039","07/31/2023","03:48P","FIRE HYDRANT","034","NY","TRAFFIC"
"PCCT40","FL","PAS","9067523367","07/30/2023","11:11A","DOUBLE PARKING","050","BX","TRAFFIC"
"KHP8467","NY","PAS","9067559593","07/30/2023","01:07P","FIRE HYDRANT","084","K","TRAFFIC"
"T789568C","NY","OMT","9067692001","07/15/2023","06:31A","FIRE HYDRANT","052","BX","TRAFFIC"
"M12RWK","NJ","PAS","9067772045","07/22/2023","06:23A","CROSSWALK","109","Q","TRAFFIC"
"XC2X8K","MO","PAS","9068260390","07/16/2023","11:56A","FIRE HYDRANT","066","K","TRAFFIC"
"OAB850","IA","PAS","9068594412","02/07/2025","12:35P","NO PARKING-DAY/TIME LIMITS","046","BX","TRAFFIC"
"5302445","ME","PAS","9068803098","05/15/2024",,,,,
"611812T","NJ","PAS","9068986582","07/29/2023","06:08A","FIRE HYDRANT","106","Q","TRAFFIC"
"KYK5535","NY","PAS","9069371911","07/27/2023","01:25P","BIKE LANE","046","BX","TRAFFIC"
"81753ND","NY","COM","9069375059","07/27/2023","10:41A","FIRE HYDRANT","046","BX","TRAFFIC"
"695265T","NJ","PAS","9069494000","08/04/2023","02:46P","CROSSWALK","033","NY","TRAFFIC"
"BLANKPLATE","99","999","9069615990","08/02/2023","01:10P","WRONG WAY","014","NY","TRAFFIC"
"T708548C","NY","OMT","9069943797","08/01/2023","08:33A","FIRE HYDRANT","046","BX","TRAFFIC"
"NHXC51","FL","PAS","9070195033","08/04/2023","09:13P","FIRE HYDRANT","033","NY","TRAFFIC"
"LBE6320","NY","PAS","9070765433","08/10/2023","06:00A","SIDEWALK","067","K","TRAFFIC"
"BLANKPLATE","99","999","9070924948","09/12/2023","09:13A","NO STANDING-DAY/TIME LIMITS","046","BX","TRAFFIC"
"T610259C","NY","OMT","9071161055","08/03/2023","06:38A","FIRE HYDRANT","044","BX","TRAFFIC"
"H63SDT","NJ","PAS","9071423268","08/10/2023","06:21A","FIRE HYDRANT","041","BX","TRAFFIC"
"Y958536","IL","PAS","9071440450","09/18/2025","12:46P","FIRE HYDRANT","067","K","TRAFFIC"
"3996061","IN","PAS","9071623828","08/12/2024","08:47P","FIRE HYDRANT","034","NY","TRAFFIC"
"BLANKPLATE","99","999","9071644856","09/19/2023","09:03A","FIRE HYDRANT","043","BX","TRAFFIC"
"BLANKPLATE","99","999","9072274386","09/28/2023","07:57A","FIRE HYDRANT","048","BX","TRAFFIC"
"KAY5763","NC","PAS","9072683572","08/12/2023","06:20A","SIDEWALK","075","K","TRAFFIC"
"AL84031","AZ","PAS","9072978018","08/22/2023","06:07A","FIRE HYDRANT","114","Q","TRAFFIC"
"NZF2524","TX","PAS","9073172056","08/21/2023","06:45A","SIDEWALK","103","Q","TRAFFIC"
"64611MA","NY","COM","9073720930","08/18/2023","01:32P","BIKE LANE","042","BX","TRAFFIC"
"AP38LY","FL","PAS","9073722690","08/24/2023","01:04P","DOUBLE PARKING","046","BX","TRAFFIC"
"KZW3206","NY","PAS","9074158390","09/05/2023","06:54A","FIRE HYDRANT","104","Q","TRAFFIC"
"BLANKPLATE","99","999","9074248081","09/23/2023","11:47A","FRONT OR BACK PLATE MISSING","018","NY","TRAFFIC"
"BLANKPLATE","99","999","9074309975","09/06/2023","07:46A","FIRE HYDRANT","048","BX","TRAFFIC"
"LCG5076","NY","PAS","9074355493","09/12/2023","05:42A","FIRE HYDRANT","068","K","TRAFFIC"
"JPB5774","NY","PAS","9074377490","08/26/2023","05:49A","FIRE HYDRANT","075","K","TRAFFIC"
"91DDHT","FL","PAS","9074666851","08/19/2023","06:04A","CROSSWALK","103","Q","TRAFFIC"
"XGZ890","GA","PAS","9074855805","07/15/2024",,,,,
"BLANKPLATE","99","999","9074856111","07/15/2024","10:09P","DOUBLE PARKING","046","BX","TRAFFIC"
"KLT9437","NY","PAS","9074969902","09/27/2023","11:25A","FIRE HYDRANT","088","K","TRAFFIC"
"RUP33J","NJ","PAS","9075372954","07/16/2024",,,,,
"BLANKPLATE","99","999","9075514797","09/23/2023","03:56P","FRONT OR BACK PLATE MISSING","018","NY","TRAFFIC"
"T791204C","NY","OMT","9075515959","08/22/2023","06:10A","DOUBLE PARKING","033","NY","TRAFFIC"
"D49LMG","NJ","PAS","9075518766","08/31/2023","06:29A","INTERSECTION","033","NY","TRAFFIC"
"BLANKPLATE","99","999","9075582249","09/14/2023","09:09A","FIRE HYDRANT","043","BX","TRAFFIC"
"S1956561","GA","PAS","9075595621","07/26/2024","02:52P","FIRE HYDRANT","047","BX","TRAFFIC"
"LBW6464","NY","PAS","9075615437","08/25/2023","06:01A","DOUBLE PARKING","047","BX","TRAFFIC"
"TDS6087","VA","PAS","9075697405","11/06/2025","02:48P","EXPIRED MUNI METER","115","Q","TRAFFIC"
"KJM2404","NY","PAS","9075839236","09/01/2023","01:50P","DOUBLE PARKING","042","BX","TRAFFIC"
"BLANKPLATE","99","999","9076077836","09/16/2023","01:23P","FIRE HYDRANT","018","NY","TRAFFIC"
"BLANKPLATE","99","999","9076119326","09/26/2023","12:11P","NO PARKING-STREET CLEANING","046","BX","TRAFFIC"
"09ABJC","FL","PAS","9076227445","09/05/2023","11:22A","FIRE HYDRANT","114","Q","TRAFFIC"
"AY360A","NJ","PAS","9076234115","09/15/2023","09:48A","CROSSWALK","108","Q","TRAFFIC"
"GWR3710","NY","PAS","9076436034","08/21/2023","01:47P","DOUBLE PARKING","071","K","TRAFFIC"
"KYJ6168","NY","PAS","9076725366","08/28/2023","07:28A","WRONG WAY","105","Q","TRAFFIC"
"XNZW58","NJ","PAS","9076767154","07/14/2025","09:06A","NO PARKING-STREET CLEANING","020","NY","TRAFFIC"
"LCR1238","NY","PAS","9076854877","10/11/2023","12:27P","CROSSWALK","040","BX","TRAFFIC"
"BLANKPLATE","99","999","9076993348","09/29/2023","12:39P","SAFETY ZONE","024","NY","TRAFFIC"
"S40SFL","NJ","PAS","9077038127","09/10/2023","06:51A","SAFETY ZONE","023","NY","TRAFFIC"
"BLANKPLATE","99","999","9077068867","12/28/2023","04:09P","FIRE HYDRANT","048","BX","TRAFFIC"
"42816JK","NY","COM","9077144833","08/02/2024","05:58P","FIRE HYDRANT","088","K","TRAFFIC"
"KYE2486","NY","PAS","9077827584","09/10/2023","06:19A","FIRE HYDRANT","044","BX","TRAFFIC"
"B43RLS","NJ","PAS","9078180419","09/13/2023","07:32A","WRONG WAY","101","Q","TRAFFIC"
"K31SRL","NJ","PAS","9078304583","10/12/2023","05:35P","SIDEWALK","023","NY","TRAFFIC"
"TWK1093","VA","PAS","9078544120","09/17/2024","02:06P","SAFETY ZONE","019","NY","TRAFFIC"
"L35RHW","NJ","PAS","9078596223","09/04/2023","07:40A","DOUBLE PARKING","046","BX","TRAFFIC"
"KGK8492","NY","PAS","9078980072","09/08/2023","07:02A","FIRE HYDRANT","106","Q","TRAFFIC"
"GJN1830","NY","PAS","9079181766","09/27/2023","06:50A","SIDEWALK","041","BX","TRAFFIC"
"LBE6320","NY","PAS","9079667316","09/11/2023","06:34A","SIDEWALK","070","K","TRAFFIC"
"BLANKPLATE","99","999","9079848116","10/14/2023","07:59A","FIRE HYDRANT","046","BX","TRAFFIC"
"C207375","NJ","PAS","9080119120","03/26/2024",,,,,
"PGWF73","FL","PAS","9080120480","09/16/2023","06:45A","FIRE HYDRANT","023","NY","TRAFFIC"
"LBS9604","NY","PAS","9080134430","09/16/2023","07:49A","DOUBLE PARKING","046","BX","TRAFFIC"
"LYY2659","PA","PAS","9080151592","09/08/2023","01:37P","DOUBLE PARKING","071","K","TRAFFIC"
"5339306","ME","PAS","9080277721","08/30/2024","07:39A","NO STANDING-BUS STOP","114","Q","TRAFFIC"
"KNU1308","NY","PAS","9080690727","09/11/2023","05:58A","FIRE HYDRANT","067","K","TRAFFIC"
"KTA1841","NY","PAS","9080840464","09/26/2023","02:12P","FIRE HYDRANT","108","Q","TRAFFIC"
